country,value
United States,50900
Japan,33553
Australia,52717
United Kingdom,36875
Italy,21745
Germany,45108
France,38095
Greece,20087
Switzerland,63546
Sweden,32229
Portugal,23636
Spain,30324
Russia,23724
Ireland,44344
New Zealand,40260
Netherlands,34854
Denmark,47775
Poland ,18597
Finland,24372
Austria,30754
Romania,25728
Belgium,35170
Egypt,6912
India,4605
Indonesia,5347
Malaysia,12490
Singapore,27285
Ukraine,24000
Bahrain,19530
Brazil,20660
Mexico,13720
Argentina,10917
South Africa,17527
Kenya,9467
Hong Kong,29713